id,title,priority,status,assignee,created_at,category,sla_met
ID-0035,Tricesimus appello videlicet tantillus vilis spes.,P3,closed,Mildred Ward,2024-10-15,policy,true
ID-0036,Cimentarius cogo vomito sed sunt voluptatibus.,P3,closed,Chasity Erdman,2024-07-15,software,false
ID-0037,Talis calco adsum coepi demitto aspicio.,P3,triaged,Shaniya Metz,2022-07-08,policy,true
ID-0038,Absens stultus solvo adficio corona volva curiositas.,P3,closed,Pasquale Koch,2022-04-26,billing,false
ID-0039,Urbanus denique aegrotatio.,P3,in_progress,Ronnie Becker IV,2021-09-29,software,false
ID-0040,Aurum aperiam coadunatio termes demens.,P3,open,Evie Kuhic-Daugherty IV,2024-04-04,billing,true
ID-0041,Suppellex cilicium audacia.,P1,open,Jacob Keebler,2024-09-13,access,false
ID-0042,Damnatio facilis demoror creta valens varius condico possimus vester vivo.,P3,in_progress,Brooklyn Grady,2022-06-06,billing,true
ID-0043,Agnitio arma decerno dolore caute comes aiunt.,P3,closed,Dr. Kirk Abshire,2020-07-19,access,false
ID-0044,Accedo causa defaeco suadeo tabella vulnero civis.,P3,in_progress,Violet Kuphal,2021-05-13,network,false
ID-0045,Vulariter perferendis correptius ter assumenda creo conor.,P3,resolved,Kianna Schroeder,2021-05-06,network,true
ID-0046,Socius dolorem decumbo.,P4,in_progress,Kevin McCullough,2022-03-26,access,true
ID-0047,Usque careo voco vitae carmen conqueror.,P4,closed,Kristie Goodwin,2020-04-23,access,true
ID-0048,Comedo deprecator commemoro aurum collum.,P4,in_progress,Wanda Parker,2023-08-24,access,false
ID-0049,Patior tactus bene.,P4,open,Darin Wilderman,2021-03-12,software,false
ID-0050,Antea clam capitulus benigne cunctatio succurro blandior.,P3,triaged,Payton Bernhard,2021-08-07,network,false
ID-0051,Tutis contigo stips coma adulescens substantia absque cunabula comprehendo.,P4,resolved,Eleazar Reinger,2025-12-04,hardware,false
ID-0052,Veritas aro tantum minus cervus demitto concido.,P3,closed,Josiah Feest,2021-11-11,hardware,false
ID-0053,Causa delectus appello vestigium usque.,P4,open,Mr. Noemy Nolan,2023-11-17,software,false
ID-0054,Repudiandae aggredior dapifer.,P3,in_progress,Paige Braun,2025-04-06,network,true
ID-0055,Sodalitas ustilo tribuo.,P4,open,Edna Gibson,2025-08-29,network,false
ID-0056,Amplexus tabgo cervus repudiandae confugo vulpes celer cibo.,P4,open,Mr. Rhoda Wolf-Bergnaum,2023-11-19,access,false
ID-0057,Vere decens adflicto conturbo trepide substantia degenero adsidue curso delicate.,P4,resolved,Arlene Hessel-Kris,2024-02-05,network,false
ID-0058,Comedo antea sollers adflicto patrocinor.,P4,closed,Becky Schuster,2022-07-12,billing,false
ID-0059,Ipsa aurum ambitus vere.,P4,resolved,Idella Lockman,2024-07-16,network,true
ID-0060,Audacia adstringo odio tunc.,P1,open,Erich Metz,2020-02-28,policy,false
